,HR_Mean,HR_Median,HR_std_log,HR_Min,HR_Max_boxcox,HR_AUC_inverse,Round,Phase,Individual,Puzzler,Frustrated,Cohort
0,0.26152899448572325,0.3935148119785565,-0.5921465596473008,0.8271335716921845,-0.26957797981468207,-0.00916740885376551,3,3,1,1,1,1
1,-0.672304857475455,-0.526345727734577,-1.0345745863355187,-0.04311034113398286,-0.8637993707558036,0.3054417828180936,3,2,1,1,5,1
2,-0.3526256125759586,-0.18093376194727612,-0.6325665921558716,0.06513603754815778,-0.6099140171097676,0.40035472084331614,3,1,1,1,0,1
3,0.3887710466247157,0.37865838334254304,-0.29272114903798063,0.6975227761648813,-0.12166776913543068,-0.6501886354021076,2,3,1,1,1,1
4,0.1755595361323582,-0.03360751130681503,0.329823441018402,0.4411497740229667,0.3114600928623236,-0.28956440269736355,2,2,1,1,5,1
5,-0.21890331777699742,-0.09550929729020216,-1.3456967359559293,0.5479718582487646,-0.7323540131245387,0.3021017943342362,2,1,1,1,0,1
6,0.16635701408898812,0.3625639189868629,-0.6589738328770779,0.7131900151846671,-0.3166917120730365,0.00839054908956674,4,3,1,1,0,1
7,-0.44248574973208177,-0.25645394084700834,-0.9300594564390078,-0.16702395883590915,-1.0209281709390159,0.32203684922386433,4,2,1,1,4,1
8,-0.28323073567760043,-0.05589215426083348,-0.5307600179182873,0.008164259294400076,-0.5367780119707171,-0.26125414934906604,4,1,1,1,0,1
9,-0.4524360741009223,-0.3152606375312254,-0.4404769572639355,0.018134320488806914,-0.4337836043655042,0.6317938638484231,1,3,1,1,2,1
10,-0.23889387909228302,0.08400588206162087,-0.04890926933533095,-0.49888456716405455,-0.5367780119707171,-0.4927034145284046,1,2,1,1,1,1
11,0.23686301638123888,0.3848485619408831,-1.8467355532623555,0.8556194608190643,-0.5922367034690146,-2.24605433639302,1,1,1,1,0,1
12,-0.7917097669300268,-0.5894855494376308,-1.0613696468363951,-0.19835843687547638,-1.3425429182066233,0.7466507062584331,3,3,2,0,2,1
13,-0.14215920166665136,0.12362302509098778,-0.4097209130626688,-0.28524039871245865,-0.4642068587471641,-0.12256434510015424,3,2,2,0,4,1
14,0.29635918638258507,-0.21559876209797305,1.2591503169494977,0.4981215522767264,1.4358251343841373,0.1647813931112993,3,1,2,0,1,1
15,-0.4112822500952776,-0.43349304875949635,-0.0736621620507288,0.1206835213455728,-0.1776379606314921,-0.0009417689633443126,2,3,2,0,2,1
16,-0.5454629292428975,-0.32764099472790215,-0.12526385608431298,-0.6612541351872675,-0.5220378785837231,0.2569889944061764,2,2,2,0,5,1
17,-0.5191155838425646,-0.43782617377833305,-0.28172349777059075,0.07510609874256663,-0.16349947551550176,0.5298637471691636,2,1,2,0,1,1
